parameter,value
V_pop,3.94937199785742
Cl_pop,1.67837320698182
Emax_pop,450681.287170133
H_pop,0.958341536300004
kdeg_pop,0.173813041624841
K_pop,2.72536891783722
omega_Cl,0.407305206903425
omega_Emax,0.257587419472929
omega_kdeg,0.0975255261747332
omega_K,0.324245245538304
b1,0.164838028544927
b2,0.179745120237717
