rep,id,eta_V,eta_Cl,eta_Emax,eta_H,eta_kdeg,eta_K
1,1,0,-0.0735241451405433,0.269926689469427,0,0.064144988769711,-0.443759441529083
2,1,0,-0.073902032173938,0.234170561345518,0,0.0633938032422916,-0.434963719702391
1,2,0,-0.549658156685936,-0.0608782812906998,0,0.112523788373463,0.3336480119018
2,2,0,-0.547605578983655,-0.359733524593356,0,0.103560605577875,0.222864287750316
1,3,0,0.370372654507705,-0.205360987768191,0,-0.00552786768118896,-0.120650680293448
2,3,0,0.3659668996966,0.0281147741097332,0,0.00318827931700572,-0.0870939972175505
1,4,0,-0.169983668255897,-0.139649981729537,0,0.0351211833219656,0.684454951759171
2,4,0,-0.170206887577106,-0.191190555551902,0,0.0377260521564589,0.675617488365966
1,5,0,0.335774122852841,-0.023305368949174,0,-0.0527504004365196,-0.131624916801743
2,5,0,0.337318627280688,0.0556733694689502,0,-0.0600143553483166,-0.11110443488179
1,6,0,0.101215807227119,0.104324236951159,0,0.10047582075365,0.0187617626453869
2,6,0,0.101166461944644,-0.0573287056030498,0,0.0965403066678738,-0.032200473275976
1,7,0,0.462421133127589,0.129564157507364,0,0.0223106425539852,-0.870971118412333
2,7,0,0.458895178425926,0.127201943247373,0,0.0132782578844572,-0.821258930247457
1,8,0,-0.65403384940489,-0.106031083685252,0,0.111252709995198,-0.354425690409329
2,8,0,-0.655754366654826,-0.185447210679838,0,0.10191285207089,-0.33359838648256
1,9,0,-0.124509192920463,0.284267442382097,0,-0.0890952422287608,-0.263177977397002
2,9,0,-0.124604945109673,0.303760973413469,0,-0.0884999533204904,-0.248838719399819
1,10,0,-0.285353433495276,-0.0773604561124106,0,-0.0920627612250449,-0.130025318814182
2,10,0,-0.286820880220718,0.0345628158262787,0,-0.0860887957190746,-0.119259097734449
1,11,0,0.0881664140319112,0.385573771480809,0,0.185866928684273,0.346333208885234
2,11,0,0.0821192849908814,-0.476655175195082,0,0.197087151476053,-0.0457926820979516
1,12,0,-0.0303179345581209,0.577950757365398,0,-0.25566782573501,-0.362117256034028
2,12,0,-0.0306199084165069,0.422223369606609,0,-0.249845297699509,-0.414094741024493
1,13,0,0.292647217736575,-0.201280134065088,0,-0.128665628513415,0.471333120164936
2,13,0,0.291661364125547,-0.17425771787997,0,-0.134759060747092,0.455951165365755
1,14,0,0.786379460998673,0.164211365157366,0,-0.1112496755644,-0.287695535220823
2,14,0,0.788531776902608,0.494653622866604,0,-0.101579287050757,-0.231678680240698
1,15,0,0.304551100017267,-0.730883907280043,0,0.103328287615525,-0.0219910426706486
2,15,0,0.30655941853689,-0.747249383429741,0,0.125706650832571,-0.0434539109504744
1,16,0,-0.442038640372761,0.0210400522178631,0,-0.00651436523947302,-0.174175586555739
2,16,0,-0.440817618520667,-0.0617363176513788,0,-0.00497507452149493,-0.199031744968225
1,17,0,0.0383494597803589,-0.0837933131522792,0,-0.0756693048254964,0.0271041124763642
2,17,0,0.0381276200485617,0.107307523221216,0,-0.0725972512078252,0.0875964825008118
1,18,0,-0.893858452942807,0.0700558145067163,0,-0.0591009738368062,0.246685283185915
2,18,0,-0.889558242054896,0.0848965443446978,0,-0.0572115825184396,0.266517731403434
1,19,0,-0.563030083974391,0.350442858606154,0,-0.0582740827837276,0.0100804676912714
2,19,0,-0.562310534734351,0.36880879048023,0,-0.0558358019151661,0.0116730141963968
1,20,0,0.292623383114248,-0.017014128732928,0,0.0230832164658776,0.0432585883401315
2,20,0,0.29509460869516,0.0248684571648585,0,0.0387878701524915,0.0125318298833448
1,21,0,0.322174685180509,-0.0628565194020219,0,0.0617682015228076,0.0352273006503401
2,21,0,0.324076935882447,0.0836823386283072,0,0.0679625566524398,0.068875618047695
1,22,0,-0.361224155027104,-0.247369807925685,0,-0.122261707360441,-0.029936372704699
2,22,0,-0.361425226410149,-0.24043421856393,0,-0.1270518909417,-0.0305855345677359
1,23,0,0.0518662139451214,0.0793023917138758,0,0.0702227105497069,0.278457299433784
2,23,0,0.0517663972500503,0.184917208283474,0,0.0748805468286931,0.308626990599565
1,24,0,-0.122622577676438,-0.122357552867353,0,0.0366877894038309,0.483245599605442
2,24,0,-0.123712281555146,-0.123509594820161,0,0.0469572850870597,0.478074836019026
1,25,0,0.160954518325488,-0.195395057707447,0,-0.0570500799769957,0.48230918638726
2,25,0,0.158460961478275,-0.120360542389474,0,-0.0547022808027862,0.461116822234837
1,26,0,0.0498226716003037,0.0843711533434472,0,0.0339289608110074,-0.107995068370136
2,26,0,0.049417415662269,-0.147976689866894,0,0.0265908983303309,-0.16115708660903
1,27,0,-0.117619570310299,-0.174654994624687,0,0.0682675920753018,0.07742864649227
2,27,0,-0.120226435835662,-0.166230376718557,0,0.0651495004980445,0.084616058467585
1,28,0,-0.528466358601629,-0.210738259819987,0,0.144788797302951,-0.131222476757193
2,28,0,-0.530482893372767,0.0633214388309398,0,0.150460414577178,-0.057549510402775
1,29,0,0.429834484553766,-0.0675022286915219,0,-0.0990874914562108,0.455022922875092
2,29,0,0.432379382554771,-0.0441806401403682,0,-0.106850584272795,0.455193942666801
1,30,0,0.833104934241274,0.551830522729498,0,-0.0357903173104452,-0.265450750487538
2,30,0,0.830775743490796,0.4220334995341,0,-0.0285071225373981,-0.363638406285365
