parameter,value
V_pop,3.92593700301514
Cl_pop,1.68293436918793
Emax_pop,393302.378201424
H_pop,0.928177243196326
kdeg_pop,0.181733368517608
K_pop,2.59566782572942
omega_Cl,0.416253133354834
omega_Emax,0.276846416015717
omega_kdeg,0.33803592057885
omega_K,0.339777275427918
b1,0.156777263352399
b2,0.192229025583607
