parameter,value
V_pop,3.98670873581192
Cl_pop,1.52030193157913
Emax_pop,390211.114581983
H_pop,0.948444001672815
kdeg_pop,0.176840153768535
K_pop,2.77325464422621
omega_Cl,0.364343358319759
omega_Emax,0.384817870766535
omega_kdeg,0.0961886720788867
omega_K,0.400633866121278
b1,0.173747589363452
b2,0.212895822138969
