parameter,value
V_pop,3.95199393235
Cl_pop,1.58612136407408
Emax_pop,435216.971523745
H_pop,0.939820640403852
kdeg_pop,0.179377790465758
K_pop,2.57519077656432
omega_Cl,0.433979920721363
omega_Emax,0.27809323269248
omega_kdeg,0.115113362495367
omega_K,0.302321919008533
b1,0.165597440324648
b2,0.147351200218374
