parameter,value
V_pop,3.98399830320699
Cl_pop,1.67254910917212
Emax_pop,497883.28961672
H_pop,0.984970346835606
kdeg_pop,0.175403135022605
K_pop,2.68047040126191
omega_Cl,0.465278859709322
omega_Emax,0.420697060497564
omega_kdeg,0.130072981555247
omega_K,0.289589189682587
b1,0.170478939904511
b2,0.241426214507052
