parameter,value
V_pop,3.9380948789528
Cl_pop,1.41718682712674
Emax_pop,432256.950286789
H_pop,0.95446210955913
kdeg_pop,0.175051307988062
K_pop,2.76737482090013
omega_Cl,0.472737557890998
omega_Emax,0.315958989865459
omega_kdeg,0.121430250463918
omega_K,0.304481713408393
b1,0.167565481743389
b2,0.1878500550933
