rep,id,eta_V,eta_Cl,eta_Emax,eta_H,eta_kdeg,eta_K
1,1,0,-0.121700172271307,0.366015831561032,0,-0.0113292142845969,0.353467511246152
2,1,0,-0.122004750429572,0.30458909023592,0,-0.0174026775652276,0.324555497108005
1,2,0,-0.819056278025026,0.162883082063905,0,0.30655309511964,0.488641332837707
2,2,0,-0.817426077450412,0.0217235298181357,0,0.255923984070429,0.461109512696767
1,3,0,0.697810318281336,-0.466256922175083,0,-0.0555794326897205,-0.110448311725138
2,3,0,0.699096834684679,-0.151451663199378,0,-0.0578811125166523,-0.0485998638778502
1,4,0,-0.160231553387377,-0.0359649658840873,0,-0.0948680018631731,-0.359834492529517
2,4,0,-0.160788987778417,-0.0780356864030427,0,-0.0944785630155476,-0.361565096571973
1,5,0,-0.535502718456353,0.323533998131273,0,-0.00648606858145362,0.571812942860222
2,5,0,-0.534928149102149,0.246577476184795,0,-0.0163968948614539,0.560087078907112
1,6,0,-0.804560897389211,0.622966105906889,0,-0.148224782476554,-0.386859365236997
2,6,0,-0.783790285952012,0.583138186499916,0,-0.122762507776889,-0.434214984094298
1,7,0,0.438268894482875,-0.23069886802446,0,-0.109312822609003,0.498918604331475
2,7,0,0.434346914217262,-0.252367039492306,0,-0.120230168896215,0.513921439695279
1,8,0,-0.235274146659876,-0.26514659885653,0,0.0672896903094755,-0.00990937228504762
2,8,0,-0.233209695667804,-0.368644215355511,0,0.0649283846700235,-0.0321824587453864
1,9,0,0.274648170247441,-0.427647170427647,0,0.134725203749055,-0.21966913482203
2,9,0,0.275440262296025,0.460616129465297,0,0.124974339554387,0.0130197894836075
1,10,0,-0.0787157241477383,-0.083227315556865,0,0.0356482683955459,0.0873616410983179
2,10,0,-0.0802671591432619,-0.100869208256979,0,0.0345651637339581,0.0830739922485416
1,11,0,0.0575644976340625,0.0541811429991856,0,-0.0653945554273627,-0.23073771247541
2,11,0,0.051305218932151,-0.116615447121797,0,-0.0741109582226533,-0.240319082806239
1,12,0,0.266912539021174,-0.185099325027039,0,0.066982288768437,0.0708142822666985
2,12,0,0.265695523277712,-0.36095230141386,0,0.0569669013484226,0.0424509182788395
1,13,0,0.436491929975824,0.220143313461486,0,0.103125934893571,-0.119047160404968
2,13,0,0.434799571188495,0.326747575371293,0,0.105008944967047,-0.103692919607592
1,14,0,0.319742131226321,-0.0662227927183014,0,0.0421436501549528,0.316157760110349
2,14,0,0.320778534324826,-0.051428228611627,0,0.0447025851014009,0.330418776532753
1,15,0,0.438915546325764,-0.150168592789818,0,0.00588774660466207,-0.0352284691480198
2,15,0,0.441102025028662,-0.160488463752626,0,0.00829921617989604,-0.0458149160430227
1,16,0,0.0245413705348714,0.00280215323617838,0,-0.0411502677370141,0.348941212292399
2,16,0,0.0232272308236582,-0.0677572793720191,0,-0.0431096457520868,0.324616316299194
1,17,0,-0.879348163116805,-0.0631731880606399,0,0.102953114704102,-0.0491126297843731
2,17,0,-0.882087524270709,0.00551392692461583,0,0.102534728535453,-0.0395895798276927
1,18,0,-0.753921117244625,-0.235158358200115,0,0.0139006385895228,0.086547927726513
2,18,0,-0.748748258947957,-0.0890347419198267,0,0.0148132811863275,0.147779149948437
1,19,0,-0.187447553317794,-0.338838844905977,0,0.165607180121272,-0.0590612392128678
2,19,0,-0.181368314958667,0.176353568938806,0,0.163622316774678,0.0986557759896994
1,20,0,-0.0568812117271143,-0.420835589208625,0,-0.163267114464273,-0.264497864998144
2,20,0,-0.0541309801623418,-0.293703747839258,0,-0.145844415798305,-0.267390374565136
1,21,0,0.0236371934221494,0.149543402127984,0,-0.125118045245393,0.417076113694405
2,21,0,0.0256960687316179,0.162985256009607,0,-0.116185798646506,0.413432142583135
1,22,0,-0.148126827176594,0.0947680801832664,0,0.0345074268128898,-0.203839116535548
2,22,0,-0.148847566447303,0.237542473278079,0,0.0323051731957851,-0.18648667371807
1,23,0,-0.0559856374286914,-0.0626762548009214,0,0.2165001130836,-0.61402466688186
2,23,0,-0.0558760582278012,-0.0155462145924741,0,0.216310315534904,-0.595808105018027
1,24,0,-0.159479818021103,0.126402362196618,0,-0.131593694111413,-0.30317903695772
2,24,0,-0.157473317001807,0.0303665649922724,0,-0.13127075740137,-0.335588944885608
1,25,0,0.226197120509964,-0.255861448088128,0,-0.118216616435821,0.347621892894238
2,25,0,0.225000048863491,-0.0707431179258151,0,-0.107710608512436,0.373115150791829
1,26,0,0.192797985617696,1.04375557957939,0,0.15186265429466,-0.214521160765528
2,26,0,0.195089417803099,-0.0734312596402518,0,0.147005140551939,-0.425999035202742
1,27,0,0.847476296813528,-0.160501585529238,0,-0.139583130929683,0.10850507243347
2,27,0,0.841661916883553,-0.188039800275845,0,-0.1477526622799,0.113430564052603
1,28,0,0.525900888611345,-0.340213471830218,0,-0.0778092995250228,-0.135998700525494
2,28,0,0.525567863984891,-0.0019966330870389,0,-0.0766768072728994,-0.0675729245386986
1,29,0,-0.159968177687176,-0.0670384979748579,0,0.013596502735288,-0.27376588204394
2,29,0,-0.158511976439216,-0.0363327702393885,0,0.00534634025139624,-0.265652973345354
1,30,0,0.35691164020383,0.331834096448665,0,-0.180341443920262,-0.150487928055886
2,30,0,0.358075890873061,0.0845859735718459,0,-0.168164396268548,-0.204973105790322
